utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
9,ASI,Hindi,80,40.0,120.0,120,0.3803076148033142,0.7248446345329285,0.8500798895645773,0.3743906021118164,0.3548882007598877,0.4086855351924896
9,ASI,Hindi,160,40.0,200.0,120,0.2855481505393982,0.5357067584991455,0.8946147954973575,0.30475306510925293,0.27747759222984314,0.28401628136634827
9,ASI,Hindi,320,40.0,360.0,120,0.24568192660808563,0.512626588344574,0.9118780852563567,0.20876353979110718,0.24141629040241241,0.2684067487716675
9,ASI,Hindi,640,40.0,680.0,120,0.1395932137966156,0.3584328591823578,0.958065383032686,0.1474267840385437,0.12419267743825912,0.15107695758342743
10,BWC,Chinese,0,40.0,40.0,171,0.4943109154701233,0.9163433313369751,0.7926127121389562,0.5641845464706421,0.49977344274520874,0.4557724595069885
10,BWC,Chinese,20,40.0,60.0,171,0.41456666588783264,0.8880559206008911,0.8306887832915527,0.47635796666145325,0.43763843178749084,0.3635295629501343
10,BWC,Chinese,40,40.0,80.0,171,0.3579472601413727,0.7238522171974182,0.8534046318562252,0.4141843914985657,0.3723178803920746,0.3176581859588623
10,BWC,Chinese,80,40.0,120.0,171,0.3051989674568176,0.630370020866394,0.8761804388361563,0.3501589298248291,0.3212863504886627,0.26871436834335327
10,BWC,Chinese,160,40.0,200.0,171,0.19910530745983124,0.43919605016708374,0.9247560173256693,0.2724399268627167,0.2011634111404419,0.16207416355609894
10,BWC,Chinese,320,40.0,360.0,171,0.1373216062784195,0.3168952167034149,0.9454863444643716,0.22068415582180023,0.12132053822278976,0.11227576434612274
10,BWC,Chinese,640,40.0,680.0,171,0.08094503730535507,0.1527380645275116,0.9673020147909157,0.14919501543045044,0.0646590143442154,0.06340105831623077
11,NCC,Chinese,0,40.0,40.0,102,0.5584194660186768,0.9973588585853577,0.7953247394510519,0.5976658463478088,0.5480734705924988,0.5484379529953003
11,NCC,Chinese,20,40.0,60.0,102,0.4818424880504608,0.8702594637870789,0.8182041715707038,0.5122745633125305,0.4809253215789795,0.4660627543926239
11,NCC,Chinese,40,40.0,80.0,102,0.4277731478214264,0.8541893362998962,0.8608929297214388,0.5086398124694824,0.3983265161514282,0.4164050221443176
11,NCC,Chinese,80,40.0,120.0,102,0.3330762982368469,0.7146535515785217,0.8711826782882195,0.4046202600002289,0.32663777470588684,0.3008245527744293
11,NCC,Chinese,160,40.0,200.0,102,0.2218881994485855,0.5550203323364258,0.9298128108778764,0.2804625928401947,0.18991228938102722,0.22570151090621948
11,NCC,Chinese,320,40.0,360.0,102,0.13857227563858032,0.3441945016384125,0.9573342198039543,0.17362278699874878,0.12058644741773605,0.13955464959144592
11,NCC,Chinese,640,40.0,680.0,102,0.09970154613256454,0.3017483949661255,0.963787880367139,0.1510312259197235,0.07960574328899384,0.09407512098550797
12,TLV,Vietnamese,0,40.0,40.0,129,0.5165550708770752,0.9223303198814392,0.7815446352090039,0.533221423625946,0.5343598127365112,0.4861212372779846
12,TLV,Vietnamese,20,40.0,60.0,129,0.42657968401908875,0.8745564222335815,0.8226810728084202,0.45460474491119385,0.46602970361709595,0.36407214403152466
12,TLV,Vietnamese,40,40.0,80.0,129,0.3355368971824646,0.7602733373641968,0.8675473159353941,0.34935662150382996,0.36047306656837463,0.29818078875541687
12,TLV,Vietnamese,80,40.0,120.0,129,0.26453477144241333,0.59322589635849,0.9013016090070661,0.2606752812862396,0.28545230627059937,0.24174673855304718
12,TLV,Vietnamese,160,40.0,200.0,129,0.1540551632642746,0.41753485798835754,0.9494828998593409,0.19615231454372406,0.1457105576992035,0.14070984721183777
12,TLV,Vietnamese,320,40.0,360.0,129,0.11070002615451813,0.2379007637500763,0.9630320806206013,0.16711436212062836,0.10009003430604935,0.0921337679028511
12,TLV,Vietnamese,640,40.0,680.0,129,0.07966161519289017,0.20786035060882568,0.971943927038729,0.15194231271743774,0.06795834749937057,0.053620845079422
13,THV,Vietnamese,0,40.0,40.0,237,0.49917933344841003,0.867580771446228,0.7612583737304344,0.5179210305213928,0.49252456426620483,0.49723705649375916
13,THV,Vietnamese,20,40.0,60.0,237,0.41063809394836426,0.8375129699707031,0.7992245567536386,0.45447540283203125,0.412420392036438,0.38030126690864563
13,THV,Vietnamese,40,40.0,80.0,237,0.3638240694999695,0.7981173992156982,0.8278305222319233,0.37877368927001953,0.37870386242866516,0.3322582244873047
